Unix,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume BTC,tradecount
1639094400000,2021-12-10,ETHBTC,0.086361,0.086604,0.082481,0.082691,98183.9646,8273.51668355,225255
1639008000000,2021-12-09,ETHBTC,0.087911,0.088366,0.085968,0.086359,69824.0018,6086.59042209,183389
1638921600000,2021-12-08,ETHBTC,0.085114,0.088,0.085024,0.08791,77906.8145,6757.0860903,199405
1638835200000,2021-12-07,ETHBTC,0.086188,0.086345,0.084252,0.085111,60107.0512,5128.0978223,166032
1638748800000,2021-12-06,ETHBTC,0.084962,0.08733,0.08275,0.086181,92936.6963,7872.40090521,301238
1638662400000,2021-12-05,ETHBTC,0.083763,0.085742,0.083538,0.084954,89530.0626,7584.662073,243538
1638576000000,2021-12-04,ETHBTC,0.07866,0.0845,0.07785,0.083763,197179.2333,16139.95281625,555401
1638489600000,2021-12-03,ETHBTC,0.079887,0.081054,0.077386,0.078659,90424.7252,7191.58518017,246942
1638403200000,2021-12-02,ETHBTC,0.080146,0.08089,0.078755,0.079887,79247.6828,6342.04946428,207755
1638316800000,2021-12-01,ETHBTC,0.081298,0.08352,0.079619,0.080151,109123.651,8933.21176649,281451
1638230400000,2021-11-30,ETHBTC,0.076924,0.081477,0.07685,0.081298,130276.7769,10339.59102487,314278
1638144000000,2021-11-29,ETHBTC,0.074985,0.076976,0.074905,0.076924,68074.4042,5157.94186493,178900
1638057600000,2021-11-28,ETHBTC,0.074832,0.075757,0.074092,0.074985,55124.7674,4130.92466573,152961
1637971200000,2021-11-27,ETHBTC,0.075231,0.076014,0.074632,0.074831,45287.9932,3413.30198049,133210
1637884800000,2021-11-26,ETHBTC,0.076739,0.076999,0.073112,0.075222,103087.0415,7734.02215002,299231
1637798400000,2021-11-25,ETHBTC,0.074727,0.07684,0.074167,0.076734,92320.997,6976.02008733,246512
1637712000000,2021-11-24,ETHBTC,0.07541,0.075997,0.074021,0.074728,67903.6959,5100.8745661,197895
1637625600000,2021-11-23,ETHBTC,0.072638,0.076,0.0724,0.075413,96041.7717,7143.33795999,230711
1637539200000,2021-11-22,ETHBTC,0.072651,0.0735,0.072195,0.072637,70414.0119,5127.33577791,193146
1637452800000,2021-11-21,ETHBTC,0.073897,0.074214,0.072502,0.072659,52204.4002,3843.02391845,132638
1637366400000,2021-11-20,ETHBTC,0.073976,0.074418,0.073,0.073905,65416.2168,4813.34444247,159864
1637280000000,2021-11-19,ETHBTC,0.070254,0.074326,0.070043,0.073974,100332.0346,7283.6074277,231534
1637193600000,2021-11-18,ETHBTC,0.071072,0.071628,0.069691,0.070247,91722.359,6477.14694588,216089
1637107200000,2021-11-17,ETHBTC,0.070072,0.071163,0.0694,0.071067,88413.3229,6192.20604052,207023
1637020800000,2021-11-16,ETHBTC,0.071741,0.07194,0.069553,0.070067,96158.6391,6798.56203765,271722
1636934400000,2021-11-15,ETHBTC,0.070615,0.0726,0.07036,0.071741,70542.28,5058.23730008,169088
1636848000000,2021-11-14,ETHBTC,0.072131,0.072136,0.070527,0.070615,57778.901,4120.43058641,136720
1636761600000,2021-11-13,ETHBTC,0.072765,0.073073,0.072,0.072131,39237.2716,2845.1271145,108077
1636675200000,2021-11-12,ETHBTC,0.072848,0.07371,0.07151,0.072763,73285.1001,5329.03692171,181452
1636588800000,2021-11-11,ETHBTC,0.071349,0.073445,0.07108,0.072847,73381.0906,5306.27850111,173578
1636502400000,2021-11-10,ETHBTC,0.070691,0.071768,0.0701,0.071356,95871.9641,6786.16420669,245540
1636416000000,2021-11-09,ETHBTC,0.071198,0.071807,0.070228,0.070691,78573.6839,5570.35398996,183320
1636329600000,2021-11-08,ETHBTC,0.072899,0.072925,0.070898,0.071197,104306.8688,7508.14251591,245302
1636243200000,2021-11-07,ETHBTC,0.073495,0.07477,0.072884,0.072899,55666.6247,4108.4818085,155219
1636156800000,2021-11-06,ETHBTC,0.073411,0.073763,0.072,0.073481,54202.1044,3953.20983361,149632
1636070400000,2021-11-05,ETHBTC,0.073822,0.073855,0.072814,0.073411,57377.9832,4200.59891306,156573
1635984000000,2021-11-04,ETHBTC,0.073184,0.073974,0.072605,0.073825,68503.67,5014.48287479,180371
1635897600000,2021-11-03,ETHBTC,0.0726,0.075,0.072216,0.073189,90565.7686,6606.71696544,231245
1635811200000,2021-11-02,ETHBTC,0.070922,0.07308,0.069985,0.072588,88592.2776,6286.50327108,236093
1635724800000,2021-11-01,ETHBTC,0.069941,0.0714,0.069133,0.070922,77138.3578,5418.05237607,201194
1635638400000,2021-10-31,ETHBTC,0.069864,0.071243,0.069128,0.069937,86526.1474,6080.45346663,216834
1635552000000,2021-10-30,ETHBTC,0.070991,0.071102,0.069388,0.069861,55770.9478,3915.47178401,152301
1635465600000,2021-10-29,ETHBTC,0.070775,0.0718,0.070192,0.070991,98101.7226,6959.74295303,263820
1635379200000,2021-10-28,ETHBTC,0.067147,0.071385,0.067,0.070775,123451.3312,8479.16179686,345477
1635292800000,2021-10-27,ETHBTC,0.068489,0.070403,0.066958,0.067146,135467.0094,9302.62292561,337715
1635206400000,2021-10-26,ETHBTC,0.066903,0.069397,0.066758,0.068492,83186.8394,5635.56206434,208142
1635120000000,2021-10-25,ETHBTC,0.067081,0.067245,0.065269,0.066897,83641.3418,5546.27047197,180063
1635033600000,2021-10-24,ETHBTC,0.067998,0.068163,0.066101,0.067079,75865.3395,5087.91664864,161735
1634947200000,2021-10-23,ETHBTC,0.065445,0.068079,0.065181,0.067997,78071.8103,5183.56510217,170954
1634860800000,2021-10-22,ETHBTC,0.06516,0.06596,0.064685,0.065446,97034.6275,6338.32730266,199872
1634774400000,2021-10-21,ETHBTC,0.063057,0.066299,0.062904,0.065148,219179.4803,14185.38137729,441192
1634688000000,2021-10-20,ETHBTC,0.060312,0.063366,0.059644,0.063061,141704.663,8667.41394047,268837
1634601600000,2021-10-19,ETHBTC,0.060396,0.061421,0.059323,0.060312,106303.4342,6442.46303717,201566
1634515200000,2021-10-18,ETHBTC,0.062529,0.062708,0.0602,0.060391,101631.5215,6240.93796204,203641
1634428800000,2021-10-17,ETHBTC,0.062913,0.06443,0.061768,0.062526,95679.664,6028.23386796,185576
1634342400000,2021-10-16,ETHBTC,0.062727,0.064524,0.061925,0.062912,109260.5606,6931.38876742,206651
1634256000000,2021-10-15,ETHBTC,0.066112,0.0662,0.061943,0.062732,155629.485,9905.85924636,296015
1634169600000,2021-10-14,ETHBTC,0.062873,0.06686,0.062024,0.066111,159665.5505,10321.06723047,293622
1634083200000,2021-10-13,ETHBTC,0.06234,0.063237,0.0612,0.062871,92339.9961,5762.45393478,193301
1633996800000,2021-10-12,ETHBTC,0.061625,0.063408,0.059927,0.062347,115565.9006,7100.58171555,225746
1633910400000,2021-10-11,ETHBTC,0.062457,0.064001,0.060851,0.061625,109486.3883,6835.73523396,225456
1633824000000,2021-10-10,ETHBTC,0.06505,0.065123,0.06245,0.062459,86637.4442,5552.77172361,195584
1633737600000,2021-10-09,ETHBTC,0.066042,0.066139,0.064976,0.06505,54157.6603,3551.37103204,132380
1633651200000,2021-10-08,ETHBTC,0.066698,0.066999,0.065,0.066043,83324.2882,5505.20582586,195670
1633564800000,2021-10-07,ETHBTC,0.064621,0.06723,0.064,0.066703,104537.8558,6871.88044873,229116
1633478400000,2021-10-06,ETHBTC,0.068291,0.068808,0.064412,0.064618,139166.2235,9212.50499756,295223
1633392000000,2021-10-05,ETHBTC,0.068792,0.069164,0.06795,0.068292,93721.2228,6424.68250253,193492
1633305600000,2021-10-04,ETHBTC,0.070902,0.071013,0.068712,0.068791,86427.044,6032.15667985,202332
1633219200000,2021-10-03,ETHBTC,0.071111,0.071765,0.070267,0.070907,64453.2896,4582.92748964,157252
1633132800000,2021-10-02,ETHBTC,0.068752,0.07195,0.068437,0.071098,91047.46,6401.25180819,197391
1633046400000,2021-10-01,ETHBTC,0.068471,0.069688,0.067397,0.068752,92883.2569,6369.68910409,217302
1632960000000,2021-09-30,ETHBTC,0.068637,0.069763,0.068351,0.068473,75004.0775,5182.48533795,176287
1632873600000,2021-09-29,ETHBTC,0.068374,0.069479,0.067937,0.068637,62983.7879,4328.1014033,150221
1632787200000,2021-09-28,ETHBTC,0.0694,0.069945,0.067969,0.068376,84614.4167,5844.85984917,193089
1632700800000,2021-09-27,ETHBTC,0.07088,0.071659,0.069172,0.069405,79349.7291,5594.96176437,191738
1632614400000,2021-09-26,ETHBTC,0.068479,0.071182,0.066667,0.070881,114315.7688,7889.57659403,255490
1632528000000,2021-09-25,ETHBTC,0.068401,0.069178,0.067293,0.068479,77492.0781,5293.77275537,201518
1632441600000,2021-09-24,ETHBTC,0.070265,0.070304,0.066525,0.068395,135387.8095,9258.15071215,281034
1632355200000,2021-09-23,ETHBTC,0.070659,0.071272,0.069839,0.070264,83558.6429,5898.37699687,181771
1632268800000,2021-09-22,ETHBTC,0.067924,0.070681,0.06741,0.070664,101156.6038,6994.90586157,225485
1632182400000,2021-09-21,ETHBTC,0.0692,0.071199,0.067,0.06791,133150.2628,9243.83764052,314747
1632096000000,2021-09-20,ETHBTC,0.070455,0.070958,0.068659,0.0692,117675.8899,8210.99571202,259046
1632009600000,2021-09-19,ETHBTC,0.071138,0.071717,0.069795,0.070452,82190.7362,5810.99827772,157570
1631923200000,2021-09-18,ETHBTC,0.07186,0.072749,0.0706,0.071139,86254.9449,6187.52417908,166455
1631836800000,2021-09-17,ETHBTC,0.074735,0.074907,0.07144,0.07186,107174.3764,7814.04174007,187529
1631750400000,2021-09-16,ETHBTC,0.075096,0.076138,0.074022,0.074728,102871.0909,7725.91490498,204423
1631664000000,2021-09-15,ETHBTC,0.072906,0.075099,0.071662,0.075092,116676.8462,8515.2817895,202143
1631577600000,2021-09-14,ETHBTC,0.073102,0.073714,0.071593,0.072905,86251.0905,6253.67583456,170954
1631491200000,2021-09-13,ETHBTC,0.073972,0.074125,0.0713,0.073102,121772.0143,8831.04932024,252799
1631404800000,2021-09-12,ETHBTC,0.07233,0.075251,0.072047,0.073976,85844.0334,6351.39717398,193753
1631318400000,2021-09-11,ETHBTC,0.071556,0.073164,0.071492,0.072331,68656.0989,4965.16299231,165359
1631232000000,2021-09-10,ETHBTC,0.073825,0.074764,0.070872,0.07155,105531.5098,7697.41946436,234849
1631145600000,2021-09-09,ETHBTC,0.075969,0.076657,0.073694,0.073819,121819.9103,9167.4695518,241081
1631059200000,2021-09-08,ETHBTC,0.073273,0.076373,0.072158,0.075969,161034.6401,11945.06252048,315133
1630972800000,2021-09-07,ETHBTC,0.074551,0.075221,0.06951,0.073272,238944.7002,17535.73558399,461605
