Unix,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USDC,tradecount
1614297600000,2021-02-26,ETHUSDC,1481.11,1562.59,1400.56,1443.86,39281.78957,58022234.486257,32628
1614211200000,2021-02-25,ETHUSDC,1624.18,1672,1458.89,1479.14,33792.17499,53852696.6835863,27515
1614124800000,2021-02-24,ETHUSDC,1578.7,1713.88,1500,1625.53,38259.19318,62398611.2509625,34547
1614038400000,2021-02-23,ETHUSDC,1777.34,1782.56,1355,1577.68,101955.86077,156197271.662135,80061
1613952000000,2021-02-22,ETHUSDC,1936.68,1937.37,1520,1778.11,58774.65014,103575248.093066,52418
1613865600000,2021-02-21,ETHUSDC,1914.31,1976,1885.27,1934.6,18873.54598,36662666.0121863,21577
1613779200000,2021-02-20,ETHUSDC,1956.24,2041.05,1783.39,1917.98,31595.24891,62388596.8672637,35960
1613692800000,2021-02-19,ETHUSDC,1940.5,1975,1890,1956.24,22206.24755,42976930.1722857,26872
1613606400000,2021-02-18,ETHUSDC,1850.87,1950,1850.87,1938.3,27445.25507,52410239.9561834,26777
1613520000000,2021-02-17,ETHUSDC,1782.43,1856,1733.72,1849.76,21250.95414,38443246.3591057,21195
1613433600000,2021-02-16,ETHUSDC,1780.95,1826.76,1723.04,1781.67,19959.34506,35492809.0060037,19921
1613347200000,2021-02-15,ETHUSDC,1802.47,1836.3,1641.42,1780.65,25948.07202,45767264.653258,30053
1613260800000,2021-02-14,ETHUSDC,1817.63,1851.13,1785.57,1801.79,16213.76054,29510903.9947417,19130
1613174400000,2021-02-13,ETHUSDC,1844.88,1874.56,1766.01,1815.63,22628.72533,41314521.7115499,23074
1613088000000,2021-02-12,ETHUSDC,1789.75,1867.57,1740,1847.65,25432.73779,45874586.1611166,23791
1613001600000,2021-02-11,ETHUSDC,1743.43,1819,1705,1787.88,23565.87333,41985768.2875857,21368
1612915200000,2021-02-10,ETHUSDC,1773.33,1839.1,1680.28,1740.79,35029.60165,61940044.5928629,30469
1612828800000,2021-02-09,ETHUSDC,1753,1825,1709.95,1772,27655.69056,48741406.656813,27102
1612742400000,2021-02-08,ETHUSDC,1615.22,1778.9,1566.92,1751.28,35827.65447,60329638.8917578,31272
1612656000000,2021-02-07,ETHUSDC,1679.38,1694.56,1492.23,1615.62,37530.35015,59629031.5297761,30675
1612569600000,2021-02-06,ETHUSDC,1719.83,1744.89,1646.23,1678.84,32615.9206,55012015.0135413,26968
1612483200000,2021-02-05,ETHUSDC,1598.27,1762,1592.3,1720.77,31342.04791,52959261.1953893,27681
1612396800000,2021-02-04,ETHUSDC,1667,1697.99,1557.5,1596.96,43236.97483,70803893.7967788,37121
1612310400000,2021-02-03,ETHUSDC,1514.24,1670.12,1509.42,1666.16,67445.08393,107889337.939411,44900
1612224000000,2021-02-02,ETHUSDC,1373.76,1548.18,1361.89,1513.06,53418.56019,77567726.7964627,36725
